Crime_ID,Date,Time,Time_Slot,Area,Police_Station,Latitude,Longitude,Crime_Type,Street_Lighting_Score,Crowd_Density,Nearby_Police_km,Nearby_Hospital_km,Known_Dark_Spot,Risk_Score,Risk_Level,Area_Risk_Priority,
NAG2025_0001,2025-11-04,07:57,Morning,Beltarodi,Beltarodi,21.07524,79.07734,Kidnapping,10,Medium,3.96,2.83,FALSE,41,Low,2,
NAG2025_0002,2025-01-06,06:28,Morning,Pratap Nagar,Pratap Nagar,21.11742,79.05357,Sexual Harassment,8,Medium,1.21,1.41,FALSE,63,Medium,25,
NAG2025_0003,2025-05-30,16:34,Afternoon,Panchpaoli,Panchpaoli,21.15734,79.09324,Eve Teasing,5,Medium,4.41,3.58,FALSE,47,Medium,24,
NAG2025_0004,2025-03-01,20:55,Evening,Ganeshpeth,Ganeshpeth,21.13892,79.09516,Domestic Violence,7,Medium,3.8,3.08,FALSE,66,Medium,14,
NAG2025_0005,2025-04-25,17:36,Evening,Yashodhara Nagar,Yashodhara Nagar,21.18104,79.12995,Domestic Violence,3,High,4.82,2.71,FALSE,69,High,4,
NAG2025_0006,2025-12-12,11:29,Morning,Pardi,Pardi,21.14106,79.16414,Kidnapping,8,High,4.81,4.9,FALSE,32,Low,8,
NAG2025_0007,2025-04-14,03:27,Night,Seminary Hills,Seminary Hills,21.16649,79.05651,Stalking,5,High,0.24,0.92,FALSE,88,High,27,
NAG2025_0008,2025-09-12,20:32,Evening,Panchpaoli,Panchpaoli,21.15661,79.0917,Eve Teasing,7,Medium,4.55,4.19,FALSE,66,Medium,24,
NAG2025_0009,2025-09-03,18:27,Evening,Beltarodi,Beltarodi,21.0771,79.08007,Domestic Violence,2,Medium,4.54,1.98,TRUE,100,High,2,
NAG2025_0010,2025-04-12,17:39,Evening,Beltarodi,Beltarodi,21.07937,79.07314,Domestic Violence,4,Low,0.41,2.82,TRUE,100,High,2,
NAG2025_0011,2025-03-11,04:44,Night,Mahal,Mahal,21.13826,79.1138,Sexual Harassment,9,Low,3.02,4.8,FALSE,69,High,6,
NAG2025_0012,2025-07-30,01:32,Night,Beltarodi,Beltarodi,21.0769,79.08157,Stalking,7,High,2.7,1.14,TRUE,69,High,2,
NAG2025_0013,2025-09-19,21:01,Night,Trimurti Nagar,Trimurti Nagar,21.10958,79.03491,Molestation,8,Medium,1.66,1.77,FALSE,78,High,28,
NAG2025_0014,2025-11-03,14:29,Afternoon,Kotwali,Kotwali,21.14852,79.10454,Domestic Violence,4,Medium,0.53,2.12,FALSE,82,High,18,
NAG2025_0015,2025-12-31,00:30,Night,Hudkeshwar,Hudkeshwar,21.09122,79.13039,Domestic Violence,1,Low,2.74,3.97,TRUE,100,High,1,
NAG2025_0016,2025-06-06,12:24,Afternoon,Kalamna,Kalamna,21.15798,79.14017,Domestic Violence,3,Medium,1.46,2.59,FALSE,72,High,3,
NAG2025_0017,2025-02-18,01:52,Night,Mahalaxmi Nagar,Mahalaxmi Nagar,21.09809,79.12021,Eve Teasing,4,Low,4.78,4.42,FALSE,89,High,9,
NAG2025_0018,2025-10-15,18:22,Evening,Ajni,Ajni,21.13017,79.08404,Assault,10,High,1.24,3.18,FALSE,47,Medium,11,
NAG2025_0019,2025-08-12,08:06,Morning,Dharampeth,Dharampeth,21.14041,79.06374,Sexual Harassment,3,Low,0.49,1.91,FALSE,94,High,13,
NAG2025_0020,2025-05-12,23:16,Night,Beltarodi,Beltarodi,21.07335,79.0781,Eve Teasing,2,Low,4.36,4.54,TRUE,100,High,2,
NAG2025_0021,2025-08-22,19:20,Evening,Hudkeshwar,Hudkeshwar,21.08812,79.1251,Eve Teasing,10,Medium,3.63,0.38,TRUE,66,Medium,1,
NAG2025_0022,2025-05-09,16:43,Afternoon,Kotwali,Kotwali,21.14473,79.10976,Eve Teasing,7,Low,4.12,0.48,FALSE,66,Medium,18,
