Sr. No.,Police Station/Contact,Type,Contact Number,Address/Details
1,Emergency Helpline,Emergency,100,24/7 Emergency
2,Emergency Helpline,Emergency,112,National Emergency Number
3,Police Control Room,Control Room,0712-2561222,Main Control Room
4,Police Control Room,Control Room,0712-2565316,Control Room
5,WhatsApp Helpline,Emergency,09823300100,WhatsApp Support
6,Women Helpline,Emergency,1091,Women Safety
7,Child Helpline,Emergency,1098,Child Support
8,Nagpur City Police Control Room,Control Room,0712-2560200,Main Control Room
9,ACP Sitabuldi,Police Station,0712-2560906,Civil Line Near Zilha Parishad
10,ACP MIDC,Police Station,0712-2566830,MIDC Area
11,Sitabuldi Police Station,Police Station,0712-2565666,Variety Square Civil Lines
12,Ambazari Police Station,Police Station,0712-2561300,Amaravathi Road
13,Wadi Police Station,Police Station,0712-220928,Amravati Road Defence Gate
14,MIDC Police Station,Police Station,0712-237935,MIDC Area
15,Sonegaon Police Station,Police Station,0712-2284110,Wardha Main Road
16,Rana Pratap Nagar Police Station,Police Station,0712-2222688,Ring Road
17,ACP Sadar,Police Station,0712-2534215,Sadar Area
18,Sadar Police Station,Police Station,0712-2562707,Residency Road
19,Gittikhadan Police Station,Police Station,0712-2580127,Kotal Road
20,Pachpaoli Police Station,Police Station,0712-2640367,Ambedkar Road
21,Jaripatka Police Station,Police Station,0712-2640404,Ring Road Jaripatka
22,Koradi Police Station,Police Station,0712-2566800,Koradi Area
23,Deputy Commissioner of Police (Zone 2),Police Station,0712-2738282,Zone 2
24,ACP Kotwali,Police Station,0712-2738283,Kotwali Area
25,ACP Lakadganj,Police Station,0712-2706367,Lakadganj Area
26,Lakadganj Police Station,Police Station,0712-2767758,Lakada Pool Mahal
27,Tahsil Police Station,Police Station,0712-2767210,Police Station Road Gandhibagh
28,Kotwali Police Station,Police Station,0712-2738284,Kotwali Area
29,Ganeshpeth Police Station,Police Station,0712-2738286,Modern Mill Road
30,Ganeshpeth Police Station,Police Station,0712-2706333,Modern Mill Road (Alternate)
31,Lakadapul Police Station,Police Station,0712-2767758,Lakada Pool
32,Ajni Police Station,Police Station,0712-2746555,Medical Hospital Area
33,Nandavan Police Station,Police Station,0712-2712190,Manav Mandir Road
34,Nandavan Police Station,Police Station,0712-2712192,Manav Mandir Road (Alternate)
35,Deputy Commissioner of Police (Zone 1),Police Station,0712-2559922,Zone 1
36,DCP Zone-I,Police Station,0712-2559955,Sitabuldi
37,DCP Zone-I,Police Station,0712-2566606,Sitabuldi (Alternate)
38,Shanti Nagar Police Station,Police Station,Available,Prem Nagar
39,Sakkardara Police Station,Police Station,Available,Chota Tajbag Road
40,Tahsil Police Station,Police Station,Available,Nanga Putla Chowk
41,Wathoda Police Station,Police Station,Available,Wathoda Road
42,Yashodhara Nagar Police Station,Police Station,Available,Yashodhara Nagar Road
43,Imamwada Police Station,Police Station,Available,Baidyanath Square
44,Beltarodi Police Station,Police Station,Available,New Mankapur
45,Juni Kamptee Police Station,Police Station,Available,Kamptee
46,Kalamna Police Station,Police Station,Available,Juna Kamptee Road
47,Pardi Police Station,Police Station,Available,Pardi Area
48,Mankapur Police Station,Police Station,Available,Mankapur Area
49,Cyber Police Station,Police Station,Available,Cyber Cell
50,Bajaj Nagar Police Station,Police Station,Available,Bajaj Nagar
